Reading_ID,Date,Shift_ID,Section_Code,Station_Code,Machine_Code,Air_Temperature_K,Process_Temperature_K,Rotational_Speed_RPM,Torque_Nm,Tool_Wear_Min,Predicted_Failure_Probability,Predicted_Failure
65,02-06-2026,B,CB,CB02,MC-CB02,298.2,308.1,1370,38.6,81.4,0,0
66,02-06-2026,B,BP,BP03,MC-BP03,299.5,309.9,1299,39.9,220.7,0.01,0
67,02-06-2026,B,PS,PS01,MC-PS01,300.6,312,1447,50.7,15.3,0,0
68,02-06-2026,B,PS,PS02,MC-PS02,302.3,311.4,1698,34.8,19,0,0
69,02-06-2026,B,PS,PS03,MC-PS03,294.1,304.1,1569,32.1,46.7,0,0
70,02-06-2026,B,PS,PS04,MC-PS04,302.3,310.4,1322,35.9,187.5,0,0
71,02-06-2026,B,WB,WB01,MC-WB01,295.2,305.9,1353,34.7,197.4,0,0
72,02-06-2026,B,WB,WB03,MC-WB03,298.6,307.1,1468,47.5,48.9,0,0
73,02-06-2026,B,FA,FA02,MC-FA02,294.7,306.7,1626,19.5,23.8,0,0
74,02-06-2026,B,FI,FI02,MC-FI02,298.9,310.4,1469,45.8,166.3,0.005,0
75,02-06-2026,B,FI,FI03,MC-FI03,299.2,310.4,1564,26.3,221.4,0,0
76,02-06-2026,C,EA,EA01,MC-EA01,298.5,307.6,1403,33.4,119.4,0,0
77,02-06-2026,C,EA,EA02,MC-EA02,296.4,307.7,1406,21.1,220.1,0,0
78,02-06-2026,C,EA,EA03,MC-EA03,300.2,309.4,1425,35.9,7.6,0,0
79,02-06-2026,C,CB,CB01,MC-CB01,292.3,303.3,1575,27.5,130.9,0,0
80,02-06-2026,C,CB,CB02,MC-CB02,295.8,305.9,1310,37.4,107.8,0,0
81,02-06-2026,C,BP,BP03,MC-BP03,301.6,311.6,1569,45,73.6,0,0
82,02-06-2026,C,PS,PS01,MC-PS01,295.8,303.9,1499,54.5,194,0,0
83,02-06-2026,C,PS,PS02,MC-PS02,298.6,311.1,1776,47,249.1,0.09,0
84,02-06-2026,C,PS,PS03,MC-PS03,295.6,306,1733,46.9,119.8,0,0
85,02-06-2026,C,PS,PS04,MC-PS04,296.8,307.5,1613,35.3,121,0,0
86,02-06-2026,C,WB,WB01,MC-WB01,293.9,304.4,1296,35.8,219.7,0,0
87,02-06-2026,C,WB,WB03,MC-WB03,299.1,309.8,1540,32.6,108.4,0,0
88,02-06-2026,C,FA,FA02,MC-FA02,299.2,309.1,1513,23.1,75.1,0,0
89,02-06-2026,C,FI,FI02,MC-FI02,298.4,308,1777,53.1,247.6,0.11,0
90,02-06-2026,C,FI,FI03,MC-FI03,299,308.8,1390,45.5,179.1,0,0
91,03-06-2026,A,EA,EA01,MC-EA01,297.7,308.5,1439,38.4,181.9,0,0
92,03-06-2026,A,EA,EA02,MC-EA02,300.2,310.7,1418,41,155.7,0,0
93,03-06-2026,A,EA,EA03,MC-EA03,296.3,306.7,1235,34.1,12.2,0.005,0
94,03-06-2026,A,CB,CB01,MC-CB01,301.6,310.1,1528,35,74.9,0,0
95,03-06-2026,A,CB,CB02,MC-CB02,295.1,305.4,1556,27.8,159.5,0,0
96,03-06-2026,A,BP,BP03,MC-BP03,292.5,302.3,1386,29.6,91,0,0
97,03-06-2026,A,PS,PS01,MC-PS01,297.2,304.9,1325,16.4,10.3,0,0
98,03-06-2026,A,PS,PS02,MC-PS02,299.4,309,1518,32.9,57.4,0,0
99,03-06-2026,A,PS,PS03,MC-PS03,297.1,307.5,1304,31.3,25.5,0,0
100,03-06-2026,A,PS,PS04,MC-PS04,300.9,310.9,1546,35.4,194.5,0,0
101,03-06-2026,A,WB,WB01,MC-WB01,298.6,308.5,1433,43.7,195.8,0,0
102,03-06-2026,A,WB,WB03,MC-WB03,297.5,308.1,1513,34.8,64.9,0,0
103,03-06-2026,A,FA,FA02,MC-FA02,297.5,307,1551,34.6,119.6,0,0
104,03-06-2026,A,FI,FI02,MC-FI02,297.7,306.9,1305,49.2,108.1,0,0
105,03-06-2026,A,FI,FI03,MC-FI03,299.9,309.2,1424,24.4,63.4,0,0
106,03-06-2026,B,EA,EA01,MC-EA01,299.4,308.9,1574,34.2,243.3,0.005,0
107,03-06-2026,B,EA,EA02,MC-EA02,300.6,310.7,1460,51.5,174,0,0
108,03-06-2026,B,EA,EA03,MC-EA03,299.8,308.8,1548,35.6,51.8,0,0
109,03-06-2026,B,CB,CB01,MC-CB01,298.3,308,1400,25.8,21.8,0,0
110,03-06-2026,B,CB,CB02,MC-CB02,297.5,307.7,1803,43.2,23.8,0,0
111,03-06-2026,B,BP,BP03,MC-BP03,296.6,306.9,1385,47.9,50.3,0.005,0
112,03-06-2026,B,PS,PS01,MC-PS01,297,306.7,1367,55.8,93.9,0,0
113,03-06-2026,B,PS,PS02,MC-PS02,296,307.9,1428,38.5,37,0,0
114,03-06-2026,B,PS,PS03,MC-PS03,300.9,311,1347,55.2,222,0.58,1
115,03-06-2026,B,PS,PS04,MC-PS04,295.4,304.9,1160,36.8,100.8,0,0
116,03-06-2026,B,WB,WB01,MC-WB01,299.5,309.3,1143,28.1,70.5,0,0
117,03-06-2026,B,WB,WB03,MC-WB03,294.4,304,1271,53.3,168.3,0,0
118,03-06-2026,B,FA,FA02,MC-FA02,298.1,307.3,1414,39.9,144.4,0,0
119,03-06-2026,B,FI,FI02,MC-FI02,301.1,311.1,1396,55,7.9,0,0
120,03-06-2026,B,FI,FI03,MC-FI03,296.7,306.5,1565,46.6,134.9,0,0
121,03-06-2026,C,EA,EA01,MC-EA01,295.7,306.3,1459,37.2,65.9,0,0
122,03-06-2026,C,EA,EA02,MC-EA02,296.6,304.7,1661,42.9,73,0,0
123,03-06-2026,C,EA,EA03,MC-EA03,301.7,311,1447,47.5,65.8,0,0
124,03-06-2026,C,CB,CB01,MC-CB01,295.4,304.8,1614,7.1,69,0,0
125,03-06-2026,C,CB,CB02,MC-CB02,302.7,313.9,1734,56,10.7,0,0
126,03-06-2026,C,BP,BP03,MC-BP03,296.6,306.7,1359,45.2,196.8,0,0
127,03-06-2026,C,PS,PS01,MC-PS01,296.9,307.1,1367,34.2,141.4,0,0
128,03-06-2026,C,PS,PS02,MC-PS02,298.9,310,1364,47.7,169.6,0,0
129,03-06-2026,C,PS,PS03,MC-PS03,297.9,307,1473,47.7,125.3,0,0
130,03-06-2026,C,PS,PS04,MC-PS04,297.9,310.1,1651,42.6,15.5,0,0
131,03-06-2026,C,WB,WB01,MC-WB01,298.7,308.9,1353,49.7,169.8,0,0
132,03-06-2026,C,WB,WB03,MC-WB03,302.5,311.7,1653,35.3,215.9,0,0
133,03-06-2026,C,FA,FA02,MC-FA02,295,304.3,1403,38.4,38.4,0,0
134,03-06-2026,C,FI,FI02,MC-FI02,297.5,308.5,1612,31.7,125.3,0,0
135,03-06-2026,C,FI,FI03,MC-FI03,300.2,308.7,1578,46.8,198.1,0,0
136,04-06-2026,A,EA,EA01,MC-EA01,298.6,307.1,1388,25.3,42.6,0,0
137,04-06-2026,A,EA,EA02,MC-EA02,297.2,305.1,1403,49.7,99.5,0,0
138,04-06-2026,A,EA,EA03,MC-EA03,292.3,299.5,1755,43.9,123.6,0,0
139,04-06-2026,A,CB,CB01,MC-CB01,298.9,309.3,1573,48.5,80.2,0,0
140,04-06-2026,A,CB,CB02,MC-CB02,299,309.3,1513,40.3,237.4,0.03,0
141,04-06-2026,A,BP,BP03,MC-BP03,299.4,309.3,1481,57,55.3,0,0
142,04-06-2026,A,PS,PS01,MC-PS01,296.5,308,1266,55.4,53.6,0,0
143,04-06-2026,A,PS,PS02,MC-PS02,297.7,306.7,1525,28.8,88.7,0,0
144,04-06-2026,A,PS,PS03,MC-PS03,296.7,306.5,1450,32,74.9,0,0
145,04-06-2026,A,PS,PS04,MC-PS04,298.9,308.2,1673,34.7,22.5,0,0
146,04-06-2026,A,WB,WB01,MC-WB01,297.7,306.4,1601,26.5,168.3,0,0
147,04-06-2026,A,WB,WB03,MC-WB03,297,306.8,1400,41.5,41.9,0,0
148,04-06-2026,A,FA,FA02,MC-FA02,298.3,309.5,1601,43.1,49.7,0.005,0
149,04-06-2026,A,FI,FI02,MC-FI02,296.6,307.5,1506,46.4,243.8,0.995,1
150,04-06-2026,A,FI,FI03,MC-FI03,298.1,305.5,1440,22.9,93.8,0,0
151,04-06-2026,B,EA,EA01,MC-EA01,295.3,306.3,1535,37.4,178.7,0,0
152,04-06-2026,B,EA,EA02,MC-EA02,297.2,308,1469,22.2,53,0,0
153,04-06-2026,B,EA,EA03,MC-EA03,297.2,308,1563,47.8,90.7,0,0
154,04-06-2026,B,CB,CB01,MC-CB01,298.5,306.5,1594,48.1,200.1,0,0
155,04-06-2026,B,CB,CB02,MC-CB02,298.8,309.8,1560,36,211.4,0.005,0
156,04-06-2026,B,BP,BP03,MC-BP03,301.6,311.6,1643,37.7,109.3,0,0
157,04-06-2026,B,PS,PS01,MC-PS01,299,310.1,1510,28.1,60.6,0,0
158,04-06-2026,B,PS,PS02,MC-PS02,298.6,308.9,1628,44.6,119.2,0,0
159,04-06-2026,B,PS,PS03,MC-PS03,300.1,311.7,1457,28.8,96.6,0,0
160,04-06-2026,B,PS,PS04,MC-PS04,298.6,309.6,1497,21,143.8,0,0
161,04-06-2026,B,WB,WB01,MC-WB01,294.1,303.8,1659,45.4,73.1,0,0
162,04-06-2026,B,WB,WB03,MC-WB03,293.4,303,1739,47.6,72,0,0
163,04-06-2026,B,FA,FA02,MC-FA02,300,311.1,1486,22.9,113.7,0,0
164,04-06-2026,B,FI,FI02,MC-FI02,297.3,307,1456,29.2,100.5,0,0
165,04-06-2026,B,FI,FI03,MC-FI03,297.8,306.6,1438,37.6,70.1,0,0
166,04-06-2026,C,EA,EA01,MC-EA01,297.7,307.6,1498,27.5,143.2,0,0
167,04-06-2026,C,EA,EA02,MC-EA02,298.5,308.6,1915,43.4,25.3,0,0
168,04-06-2026,C,EA,EA03,MC-EA03,296.2,304.7,1334,30.1,160.1,0,0
169,04-06-2026,C,CB,CB01,MC-CB01,297.2,307.2,1385,30.2,214.8,0,0
170,04-06-2026,C,CB,CB02,MC-CB02,300.4,308,1591,46.4,204.7,0,0
171,04-06-2026,C,BP,BP03,MC-BP03,300.7,310,1532,34.6,134.9,0,0
172,04-06-2026,C,PS,PS01,MC-PS01,297.8,307.1,1415,51.2,238.4,0.36,1
173,04-06-2026,C,PS,PS02,MC-PS02,299.7,309.3,1424,41.8,114.9,0,0
174,04-06-2026,C,PS,PS03,MC-PS03,295.3,306.2,1820,43.5,185.6,0,0
175,04-06-2026,C,PS,PS04,MC-PS04,301.9,311.6,1556,37,143.8,0,0
176,04-06-2026,C,WB,WB01,MC-WB01,296.4,306,1567,40.9,116.8,0,0
177,04-06-2026,C,WB,WB03,MC-WB03,295.5,304.6,1410,42.7,61.4,0,0
178,04-06-2026,C,FA,FA02,MC-FA02,296.8,306.9,1146,46.4,133.7,0,0
179,04-06-2026,C,FI,FI02,MC-FI02,296.8,308.5,1502,34.7,172.2,0,0
180,04-06-2026,C,FI,FI03,MC-FI03,297.7,306.9,1550,57.7,185,0,0
181,05-06-2026,A,EA,EA01,MC-EA01,301.1,311.1,1668,48.2,116.3,0,0
182,05-06-2026,A,EA,EA02,MC-EA02,300.4,309.8,1549,28.8,197.3,0,0
183,05-06-2026,A,EA,EA03,MC-EA03,295.9,305.1,1341,50.6,13,0,0
184,05-06-2026,A,CB,CB01,MC-CB01,300.1,308.8,1650,54.2,173.2,0,0
185,05-06-2026,A,CB,CB02,MC-CB02,296.2,306.3,1330,41.7,136.7,0,0
186,05-06-2026,A,BP,BP03,MC-BP03,298.4,307.5,1497,40.8,20.2,0,0
187,05-06-2026,A,PS,PS01,MC-PS01,297.5,307.3,1641,47.4,124.4,0,0
188,05-06-2026,A,PS,PS02,MC-PS02,301.2,310.7,1578,45.1,148.5,0.01,0
189,05-06-2026,A,PS,PS03,MC-PS03,298.6,310.1,1162,36.2,50.7,0,0
190,05-06-2026,A,PS,PS04,MC-PS04,296,304.9,1365,40.9,71.4,0.005,0
191,05-06-2026,A,WB,WB01,MC-WB01,297.2,307,1371,32.3,54.9,0,0
192,05-06-2026,A,WB,WB03,MC-WB03,302,312,1496,35.9,129.8,0.01,0
193,05-06-2026,A,FA,FA02,MC-FA02,301.5,311,1480,58.7,24,0,0
194,05-06-2026,A,FI,FI02,MC-FI02,299.6,310.3,1401,49.5,245.1,0.985,1
195,05-06-2026,A,FI,FI03,MC-FI03,295.7,306.2,1737,35.3,0.8,0,0
196,05-06-2026,B,EA,EA01,MC-EA01,295.2,305.1,1756,38.7,120.1,0,0
197,05-06-2026,B,EA,EA02,MC-EA02,297.6,305.2,1319,42.2,146.4,0,0
198,05-06-2026,B,EA,EA03,MC-EA03,300.9,310.8,1459,24.7,182.6,0,0
199,05-06-2026,B,CB,CB01,MC-CB01,297.7,309.4,1759,50.7,126.9,0,0
200,05-06-2026,B,CB,CB02,MC-CB02,300.5,309.1,1476,48,52.7,0,0
201,05-06-2026,B,BP,BP03,MC-BP03,298.9,309.3,1537,35.4,37.6,0,0
202,05-06-2026,B,PS,PS01,MC-PS01,296.9,306.7,1695,29.3,103.3,0,0
203,05-06-2026,B,PS,PS02,MC-PS02,297.6,307.2,1578,33.4,120.1,0,0
204,05-06-2026,B,PS,PS03,MC-PS03,295.1,304.5,1382,38,213.6,0,0
205,05-06-2026,B,PS,PS04,MC-PS04,297.3,307.6,1400,44.6,85.6,0,0
206,05-06-2026,B,WB,WB01,MC-WB01,301.7,312.3,1589,12.8,228.5,0.055,0
207,05-06-2026,B,WB,WB03,MC-WB03,295.4,305.2,1619,50.9,2.4,0,0
208,05-06-2026,B,FA,FA02,MC-FA02,298.7,306.7,1527,30.9,228.5,0.005,0
209,05-06-2026,B,FI,FI02,MC-FI02,294,303.7,1563,43.4,80.8,0,0
210,05-06-2026,B,FI,FI03,MC-FI03,295.8,306.1,1631,44.6,225.9,0.04,0
211,05-06-2026,C,EA,EA01,MC-EA01,297.7,307.6,1638,25.7,182.5,0,0
212,05-06-2026,C,EA,EA02,MC-EA02,301.7,310.7,1506,32.2,42,0,0
213,05-06-2026,C,EA,EA03,MC-EA03,298.1,307.4,1438,22.5,244.1,0.005,0
214,05-06-2026,C,CB,CB01,MC-CB01,292.6,304.1,1347,44.1,82.9,0,0
215,05-06-2026,C,CB,CB02,MC-CB02,294.9,304,1493,50.8,210.5,0,0
216,05-06-2026,C,BP,BP03,MC-BP03,300.7,310.5,1442,49.3,178.2,0,0
217,05-06-2026,C,PS,PS01,MC-PS01,300.3,310.6,1501,42.2,187.3,0.005,0
218,05-06-2026,C,PS,PS02,MC-PS02,301.7,311.7,1588,42.1,16.8,0,0
219,05-06-2026,C,PS,PS03,MC-PS03,293.5,304.4,1649,20.1,79.9,0,0
220,05-06-2026,C,PS,PS04,MC-PS04,300.9,310.2,1887,45.2,128,0.005,0
221,05-06-2026,C,WB,WB01,MC-WB01,299.2,310.1,1354,46.7,196.7,0,0
222,05-06-2026,C,WB,WB03,MC-WB03,299,308.8,1407,42.2,13.5,0,0
223,05-06-2026,C,FA,FA02,MC-FA02,295.5,305.3,1445,55.5,77.5,0,0
224,05-06-2026,C,FI,FI02,MC-FI02,300,309.8,1339,22.8,2.6,0,0
225,05-06-2026,C,FI,FI03,MC-FI03,300.1,307.5,1365,40.1,36.5,0,0
226,06-06-2026,A,EA,EA01,MC-EA01,297.9,307.4,1640,28.6,177,0,0
227,06-06-2026,A,EA,EA02,MC-EA02,301.4,311.4,1639,37.2,246.1,0.11,0
228,06-06-2026,A,EA,EA03,MC-EA03,297.2,308.3,1365,30.9,2.6,0,0
229,06-06-2026,A,CB,CB01,MC-CB01,297,309.3,1510,56.2,175.5,0,0
230,06-06-2026,A,CB,CB02,MC-CB02,299.9,311.2,1451,63.3,234.3,0.35,1
231,06-06-2026,A,BP,BP03,MC-BP03,301.1,312.2,1561,52,138.2,0,0
232,06-06-2026,A,PS,PS01,MC-PS01,295.3,304.4,1669,49.8,218.6,0,0
233,06-06-2026,A,PS,PS02,MC-PS02,297.7,306.7,1478,34.2,115.6,0,0
234,06-06-2026,A,PS,PS03,MC-PS03,296.4,306.9,1574,46.5,73.1,0.015,0
235,06-06-2026,A,PS,PS04,MC-PS04,293.7,303.2,1413,36.7,56.8,0,0
236,06-06-2026,A,WB,WB01,MC-WB01,297.2,307.8,1556,29.5,117.3,0,0
237,06-06-2026,A,WB,WB03,MC-WB03,296.9,306.3,1418,47.7,66.1,0,0
238,06-06-2026,A,FA,FA02,MC-FA02,298.6,309.1,1652,50.5,182.9,0,0
239,06-06-2026,A,FI,FI02,MC-FI02,297.1,305.3,1659,57.8,128.4,0,0
240,06-06-2026,A,FI,FI03,MC-FI03,296.2,306.3,1129,48,120.3,0.005,0
241,06-06-2026,B,EA,EA01,MC-EA01,301.6,309.9,1447,30.6,174.3,0,0
242,06-06-2026,B,EA,EA02,MC-EA02,299.9,310.5,1578,36.4,224.2,0.01,0
243,06-06-2026,B,EA,EA03,MC-EA03,299.8,309.4,1573,33.9,184,0,0
244,06-06-2026,B,CB,CB01,MC-CB01,298.2,308.2,1395,41.5,230.4,0.03,0
245,06-06-2026,B,CB,CB02,MC-CB02,301,310.5,1380,39.8,159.5,0,0
246,06-06-2026,B,BP,BP03,MC-BP03,295.2,305.6,1521,39.7,15.2,0,0
247,06-06-2026,B,PS,PS01,MC-PS01,297.6,306.8,1519,38.2,115.9,0,0
248,06-06-2026,B,PS,PS02,MC-PS02,299,307.4,1500,24.1,213.6,0,0
249,06-06-2026,B,PS,PS03,MC-PS03,299,308.8,1540,42.5,46.3,0.005,0
250,06-06-2026,B,PS,PS04,MC-PS04,296.3,306.6,1598,36.1,53.6,0,0
251,06-06-2026,B,WB,WB01,MC-WB01,296.8,307.2,1195,27.8,122.4,0,0
252,06-06-2026,B,WB,WB03,MC-WB03,302.7,311.6,1691,42.6,246.8,0.09,0
253,06-06-2026,B,FA,FA02,MC-FA02,296.1,305.4,1428,64.9,41.6,0,0
254,06-06-2026,B,FI,FI02,MC-FI02,294.6,305.1,1548,35.8,43.1,0,0
255,06-06-2026,B,FI,FI03,MC-FI03,298.4,308.8,1565,33.7,223.4,0.005,0
256,06-06-2026,C,EA,EA01,MC-EA01,293.4,301.1,1629,29.5,87,0,0
257,06-06-2026,C,EA,EA02,MC-EA02,299.1,310.5,1852,37.9,54.9,0,0
258,06-06-2026,C,EA,EA03,MC-EA03,291.6,299.2,1591,52.9,8.1,0,0
259,06-06-2026,C,CB,CB01,MC-CB01,296.6,305.8,1679,38.1,61,0,0
260,06-06-2026,C,CB,CB02,MC-CB02,296.8,307.1,1436,43.8,147.9,0,0
261,06-06-2026,C,BP,BP03,MC-BP03,300,310.9,1511,35.2,211.4,0,0
262,06-06-2026,C,PS,PS01,MC-PS01,298.8,309.3,1597,38.2,23.6,0,0
263,06-06-2026,C,PS,PS02,MC-PS02,296.4,304.6,1273,40.3,59.4,0,0
264,06-06-2026,C,PS,PS03,MC-PS03,300.2,308.4,1228,36.9,232.8,0.005,0
265,06-06-2026,C,PS,PS04,MC-PS04,296.9,305,1593,53.5,159.7,0,0
266,06-06-2026,C,WB,WB01,MC-WB01,299.2,310.4,1661,47.2,172.8,0,0
267,06-06-2026,C,WB,WB03,MC-WB03,299.1,308.5,1581,41.3,157.7,0,0
268,06-06-2026,C,FA,FA02,MC-FA02,298.6,308.4,1798,42.1,19.7,0,0
269,06-06-2026,C,FI,FI02,MC-FI02,297,306.4,1525,41,62,0,0
270,06-06-2026,C,FI,FI03,MC-FI03,300.6,311.7,1153,25.9,131.7,0,0
271,07-06-2026,A,EA,EA01,MC-EA01,299.1,309.5,1459,56.8,181.1,0,0
272,07-06-2026,A,EA,EA02,MC-EA02,296.7,306.8,1555,40.3,224.5,0.01,0
273,07-06-2026,A,EA,EA03,MC-EA03,300.5,310,1424,45.5,224.5,0.36,1
274,07-06-2026,A,CB,CB01,MC-CB01,298,306.7,1546,32.8,25.8,0,0
275,07-06-2026,A,CB,CB02,MC-CB02,298.2,307.7,1644,39.6,45.3,0,0
276,07-06-2026,A,BP,BP03,MC-BP03,301.8,312.7,1554,32.3,36.1,0,0
277,07-06-2026,A,PS,PS01,MC-PS01,299.8,309.9,1656,58.7,2.5,0,0
278,07-06-2026,A,PS,PS02,MC-PS02,299.2,309.9,1700,34.6,238.9,0,0
279,07-06-2026,A,PS,PS03,MC-PS03,296.9,306.3,1615,49.2,103.8,0,0
280,07-06-2026,A,PS,PS04,MC-PS04,294.2,304.1,1483,28.7,64.9,0,0
281,07-06-2026,A,WB,WB01,MC-WB01,298,308.6,1201,45,180.9,0,0
282,07-06-2026,A,WB,WB03,MC-WB03,294.9,304.1,1368,29.7,34.1,0,0
283,07-06-2026,A,FA,FA02,MC-FA02,297.7,308.9,1570,43.6,50,0,0
284,07-06-2026,A,FI,FI02,MC-FI02,300.2,310.7,1446,37.6,84.1,0,0
285,07-06-2026,A,FI,FI03,MC-FI03,298,308,1467,38.9,87.2,0,0
286,07-06-2026,B,EA,EA01,MC-EA01,301.6,312,1605,49.4,54.8,0,0
287,07-06-2026,B,EA,EA02,MC-EA02,299.5,310,1429,47.4,165.7,0.005,0
288,07-06-2026,B,EA,EA03,MC-EA03,298.7,309.1,1603,67.3,68,0,0
289,07-06-2026,B,CB,CB01,MC-CB01,296.9,306.8,1501,55.5,68.5,0,0
